Row	dataset	instruments_on_platform_attributed_to
60	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_annual_v3	6
61	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_monthly_v3	6
62	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_daily_v3	6
63	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_monthly_v3	6
64	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_navoceano_l2_9km_mcsst_gac	6
65	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_8day_daytime_v51	6
66	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_8day_nighttime_v51	6
67	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_annual_daytime_v51	6
68	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_annual_nighttime_v51	6
69	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_daily_daytime_v51	6
70	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_daily_nighttime_v5	6
71	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_monthly_daytime_v5	6
72	http://data.globalchange.gov/dataset/nasa-podaac-avhrr_pathfinder_l3_sst_monthly_nighttime_v5	6
73	http://data.globalchange.gov/dataset/nasa-podaac-eur-l4uhrfnd-gal-odyssea	6
74	http://data.globalchange.gov/dataset/nasa-podaac-ncdc-l4lrblend-glob-avhrr_oi	6
75	http://data.globalchange.gov/dataset/nasa-podaac-recon_sea_level_ost_l4_v1	6
76	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smia_daily_v4	6
77	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smi_monthly_v4	6
78	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_3month_v4	6
79	http://data.globalchange.gov/dataset/nasa-podaac-aquarius_l3_ancillary_sst_smid_monthly_v4	6
